Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.9546E-15,-0.0025,1.1984E-14,0,0,0,0.24083,0.00057369,3.2157E-15,-1.0718E-15,0.0022033,-2.7475E-15,0.0016306,0,0,0,0,0,0,package://Manipulator_tf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/base_link.STL,,3rd_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_base_link,0.127882844326927,0.21516198683833,0.243466478777363,0,0,0,0.0888805032863536,7.78274568162348E-05,-4.51119521708741E-08,9.02366661508644E-13,0.000152787665848685,-6.09842163953188E-13,8.05930936282739E-05,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_base_link.STL,,arm_base_link-1,Origin_arm_base_joint,,arm_base_joint,fixed,-0.12473,0.24347,-0.18335,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_1_link,-0.00304007438045744,0.0196164335050423,-0.00291517432990257,0,0,0,0.102309676287535,5.85277337608598E-05,-1.83034149134299E-07,-5.85534183280057E-07,0.000109918724976136,3.63049047266557E-07,5.95682017970673E-05,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_1_link.STL,,arm_1_link-1,Origin_arm_1_joint,Axis_arm_1_joint,arm_1_joint,continuous,0.12473,0.22085,0.24347,3.1416,1.1738,3.1416,arm_base_link,0,1,0,10,100,-1.57,1.57,,,,,,,,
arm_2_link,-0.00136241892661261,0.0759999999999952,0.00324974749212679,0,0,0,0.0731866074343535,4.80073815600738E-05,-1.00851029729116E-08,8.91994561566128E-06,3.20760640864426E-05,2.40557713069729E-08,3.04704178358834E-05,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_2_link.STL,,arm_2_link-1,Origin_arm_2_joint,Axis_arm_2_joint,arm_2_joint,continuous,0.00057178,0.0325,0.00023971,0,0,0,arm_1_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
arm_3_link,-0.0025815322874481,0.0524015939543056,0.000939181171344017,0,0,0,0.103604281307373,3.85881018738479E-05,-4.80398867358625E-07,5.05895931054358E-06,2.28862113904906E-05,-1.44453325725892E-07,2.97794533690991E-05,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_3_link.STL,,arm_3_link-1,Origin_arm_3_joint,Axis_arm_3_joint,arm_3_joint,continuous,0,0.152,0,0,0,0,arm_2_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
arm_4_link,-0.00101187414780247,0.0375011786310828,-0.00366708121412873,0,0,0,0.0995665365854079,2.11129357002765E-05,-8.60510244360547E-08,2.61664416187348E-06,1.51148951315073E-05,-3.60758973291711E-08,1.71059724068234E-05,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_4_link.STL,,arm_4_link-1,Origin_arm_4_joint,Axis_arm_4_joint,arm_4_joint,continuous,0,0.1464,0,0,0,0,arm_3_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
arm_5_link,-0.00868940056135506,0.0276881873217658,-0.0253003257939571,0,0,0,0.0375612763479438,6.51328878264193E-06,4.824257465463E-09,1.70111525571283E-06,6.43248404947121E-06,-9.59375877533994E-09,2.9512265950098E-06,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_5_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/arm_5_link.STL,,arm_5_link-1,Origin_arm_5_joint,Axis_arm_5_joint,arm_5_joint,continuous,0.00056091,0.09115,0.0028104,3.1416,0,3.1416,arm_4_link,0,1,0,10,100,-1.57,1.57,,,,,,,,
gripper_1_link,0.000163480467086502,-0.00403983489131327,0.00336463442646602,0,0,0,0.00233893532260202,2.44085104510321E-07,-4.91339632043238E-09,-5.73121224919762E-19,7.71995240694164E-08,2.04123577772977E-18,3.18397565042681E-07,0,0,0,0,0,0,package://Manipulator_tf/meshes/gripper_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Manipulator_tf/meshes/gripper_1_link.STL,,3. gear_link-1;1. Disk-1,Origin_gripper_1_joint,Axis_gripper_1_joint,gripper_1_joint,continuous,0.0068104,0.0295,-0.011783,0.90777,-0.89161,2.1168,arm_5_link,0,0,1,10,100,-1.57,1.57,,,,,,,,
